Rank,Tier,Name,Affiliation,Specialty,Direct relevance to MELM,Public channel,Approach angle,Realistic role
1,1 — Direct thesis fit,Zafeirios Fountas,Huawei Noah's Ark Lab (London),Episodic memory in LLMs; computational neuroscience,"Lead author of EM-LLM (arXiv:2407.09450) — the architecture we drop in as Layer 3. Direct stake in seeing his work productized.",@ZFountas / GitHub em-llm,"Cold email with concrete proposal: 'we're building the first end-to-end model around EM-LLM — would you advise / collaborate on the EP design?'","Technical advisor or part-time research collaborator"
2,1 — Direct thesis fit,Haris Jabbar,Independent / academic,Morpheme-aware tokenization,"Author of MorphPiece (arXiv:2307.07262) — closest published precedent for our Layer 1 design. Has thought through all the integration questions.",GitHub @harisjabbar / arXiv,"Email with the design and ask for review of our morpheme-FST + Tree-LSTM composition","Advisor on Layer 1+2 architecture"
3,1 — Direct thesis fit,Aaron Mueller,Northeastern University,Developmentally-plausible language modelling,"Co-organizer of BabyLM Challenge 2023/2024/2025. Knows the corpus and evaluation suite better than anyone outside the inner circle.",@amuuueller / aaronmueller.github.io,"Reach out via BabyLM community Slack or conference; offer co-authorship on the eval paper","Advisor / eval consultant"
4,1 — Direct thesis fit,Alex Warstadt,UC San Diego,Developmentally-plausible LMs; syntactic generalization,"BabyLM co-organizer; published on what works at sub-100M-word scale; BLiMP author.",@a_stadt / alexwarstadt.com,"Email with our roadmap; emphasize sample-efficiency angle aligns with his research agenda","Advisor"
5,1 — Direct thesis fit,Leshem Choshen,IBM Research / MIT,Sample-efficient LM training; benchmarks,"BabyLM co-organizer; runs broad evals across small-scale models. Active open-source contributor.",@LChoshen / Twitter,"Ping via X/Twitter with our compute math + BabyLM-aligned plan","Advisor / collaborator on evals"
6,1 — Direct thesis fit,Adina Williams,Meta FAIR,Computational psycholinguistics; BabyLM,"BabyLM co-organizer; published extensively on what LMs learn that mirrors child acquisition.",@AdinaWilliams,"Long-term cultivation; cite her work in our outreach; conference circuit","Senior advisor"
7,2 — Open-source LM training,Stella Biderman,EleutherAI (Executive Director),Open-source LM pretraining; reproducibility,"EleutherAI shipped GPT-J / GPT-NeoX / Pythia; their training stack is the fastest path to launch. Famously approachable.",@BlancheMinerva,"Ping via EleutherAI Discord; offer to open-source MELM via EleutherAI infrastructure","Strategic advisor; possible infra partner"
8,2 — Open-source LM training,Hailey Schoelkopf,EleutherAI,Evaluation harness maintenance; sample-efficient training,"Lead maintainer of lm-evaluation-harness — the framework we'll extend. Direct day-to-day collaboration value.",@haileyschoelkopf,"DM via EleutherAI Discord with our planned eval extensions","Collaborator on eval harness"
9,2 — Implementation specialist,Phil Wang (lucidrains),Independent,"Reference implementations of new ML papers (transformers, MoE, SSMs, audio)","Most prolific reimplementer in the field. If you can describe an architecture, he can code it. His existing repos cover most of MELM's primitives.",@lucidrains / GitHub lucidrains,"GitHub issue or sponsor; he often takes contracts for paid implementation work","Paid contributor / contractor"
10,2 — Implementation specialist,Aleksa Gordić,Independent (The AI Epiphany),Open-source AI implementation; technical content,"Built reference SSM/Mamba code; very active in the open-source AI builder community. Already has audience that would care about MELM.",@gordic_aleksa,"Reach out with the build plan; he may co-build for equity or content collaboration","Co-builder / content amplifier"
11,2 — Morphology / FST,Mans Hulden,University of Colorado Boulder,Finite-state morphology; foma toolkit author,"Foma is the FST compiler we'll use for Layer 1. Direct technical fit for the morphological front-end.",mans.hulden@colorado.edu (publicly listed),"Email with concrete FST schema; offer co-authorship if he advises on Layer 1","Advisor on Layer 1"
12,2 — Morphology / FST,Ryan Cotterell,ETH Zürich,Computational morphology; probabilistic NLP,"Runs the Rycolab; published extensively on neural morphology and tokenization. Strong academic standing.",@ryandcotterell / rycolab.io,"Cold email with the morpheme inventory question; he's responsive to well-formulated technical questions","Advisor / academic collaborator"
13,2 — Morphology / FST,Mathias Creutz,Aalto University,Morfessor co-author,"Original Morfessor work is the unsupervised fallback in our Layer 1. Long history of industry collaboration.",mathias.creutz@aalto.fi (university page),"Email about Morfessor 2.0 integration; possible licensing question","Advisor on unsupervised segmentation"
14,3 — Open-source ecosystem,Andreas Köpf,Independent (ex-OpenAssistant lead),Conversational dataset construction; LLaMA-Factory,"Led OpenAssistant Conversations — exactly the dataset we use. Strong open-source reputation.",@neuralink (X) / GitHub @andreaskoepf,"Reach via X DM; offer collaboration on data quality filters","Data pipeline advisor"
15,3 — Open-source ecosystem,Lewis Tunstall,Hugging Face,Fine-tuning; alignment-handbook author,"Wrote the canonical book on fine-tuning transformers; HuggingFace insider; alignment-handbook author.",@_lewtun,"X DM with our training stack; he often advises on fine-tuning recipes","Advisor on training stack"
16,3 — Open-source ecosystem,Edward Beeching,Hugging Face,RL + efficient training; TRL contributor,"HuggingFace researcher; pragmatic about getting things shipped at small scale.",@edwardbeeching,"X DM; potential collaboration on synthetic data RL loop","Collaborator on synthetic data"
17,3 — Open-source ecosystem,Yacine Jernite,Hugging Face,Open-source data; ML-data ethics,"HuggingFace data lead; would understand the developmentally-plausible corpus framing immediately and could help amplify.",@YJernite,"Email or X DM; the BabyLM-style corpus angle resonates with his data work","Advisor on data + open-release"
18,3 — Scaling specialist,Susan Zhang,Ex-Meta (OPT lead author),Pretraining at scale; reproducibility,"Famously open about the OPT training experience; would appreciate the small-scale, well-documented MELM pretraining philosophy.",@suchenzang,"X DM with the compute math; she's vocal about training practice","Advisor on training discipline"
19,4 — Adjacent expertise,Christine Sun,Independent (ement-llm-memory author),Episodic memory benchmarking,"Built episodic-memory-benchmark repo (github.com/christine-sun/ement-llm-memory). Direct fit for our Section 6.3 benchmark work.",GitHub @christine-sun,"GitHub issue with our planned episodic recall benchmark","Collaborator on episodic benchmark"
20,4 — Adjacent expertise,Albert Gu,CMU / Cartesia AI,Mamba co-author; SSMs,"Co-invented Mamba — the backbone we warm-start from. Long shot given Cartesia commitments but worth listing as advisor.",@_albertgu,"Cold email with our Mamba-warm-start architecture; even a 30-min Zoom is high-signal","Advisor (long shot)"
